Brand,Model,AccelSec,Top Speed MPH,Range (miles),Efficiency WhM,RapidCharge,PowerTrain,PlugType,BodyStyle,Segment,Seats,Price (USD)
Tesla ,Model X Long Range,4.6,155.0,280.0,131.0,Yes,AWD,Type 2,SUV,F,7,92869.20000000001
Tesla ,Model S Long Range,3.8,155.0,320.0,114.0,Yes,AWD,Type 2,Liftback,F,5,86389.20000000001
Tesla ,Cybertruck Tri Motor,3.0,130.0,466.0,166.0,Yes,AWD,Type 2 CCS,Pickup,N,6,81000.0
Tesla ,Model X Performance,2.8,155.0,273.0,134.0,Yes,AWD,Type 2,SUV,F,7,111229.20000000001
Tesla ,Model 3 Long Range Performance,3.4,162.0,270.0,104.0,Yes,AWD,Type 2 CCS,Sedan,D,5,66398.40000000001
Tesla ,Model Y Long Range Dual Motor,5.1,135.0,264.0,106.0,Yes,AWD,Type 2 CCS,SUV,D,7,63309.600000000006
Tesla ,Model 3 Standard Range Plus,5.6,140.0,193.0,95.0,Yes,RWD,Type 2 CCS,Sedan,D,5,50090.4
Volkswagen ,ID.3 Pure,10.0,99.0,168.0,104.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,32400.000000000004
Volkswagen ,e-Golf ,9.6,93.0,118.0,104.0,Yes,FWD,Type 2 CCS,Hatchback,C,5,34452.0
Volkswagen ,ID.3 Pro S,7.9,99.0,273.0,109.0,Yes,RWD,Type 2 CCS,Hatchback,C,4,44210.880000000005
Volkswagen ,ID.3 1st,7.3,99.0,211.0,106.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,42105.96000000001
Volkswagen ,ID.3 Pro Performance,7.3,99.0,211.0,106.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,38421.0
Volkswagen ,ID.3 Pro,9.0,99.0,217.0,103.0,Yes,RWD,Type 2 CCS,Hatchback,C,5,35640.0
Volkswagen ,e-Up! ,11.9,81.0,121.0,103.0,Yes,FWD,Type 2 CCS,Hatchback,A,4,23134.68
Volkswagen ,ID.4 ,7.5,99.0,261.0,114.0,Yes,RWD,Type 2 CCS,SUV,C,5,48600.0
Volvo ,XC40 P8 AWD Recharge,4.9,112.0,233.0,124.0,Yes,AWD,Type 2 CCS,SUV,C,5,65271.96000000001
